,RunId,scrp_1_1,scrp_2_1,scrp_1_2,scrp_2_2,scrp_1_3,scrp_2_3,scrp_1_4,scrp_2_4,scrp_1_5,scrp_2_5,scrp_1_6,scrp_2_6,scrp_1_7,scrp_2_7,scrp_1_8,scrp_2_8,scrp_1_9,scrp_2_9,scrp_1_10,scrp_2_10,scrp_1_11,scrp_2_11,scrp_1_12,scrp_2_12,scrp_1_13,scrp_2_13,scrp_1_14,scrp_2_14,scrp_1_15,scrp_2_15,scrp_1_16,scrp_2_16,scrp_1_17,scrp_2_17,scrp_1_18,scrp_2_18,scrp_1_19,scrp_2_19,scrp_1_20,scrp_2_20,scrp_1_21,scrp_2_21,scrp_1_22,scrp_2_22,scrp_1_23,scrp_2_23,scrp_1_24,scrp_2_24,scrp_1_25,scrp_2_25,scrp_1_26,scrp_2_26,scrp_1_27,scrp_2_27,scrp_1_28,scrp_2_28,scrp_1_29,scrp_2_29,scrp_1_30,scrp_2_30,scrp_1_31,scrp_2_31,scrp_1_32,scrp_2_32,scrp_1_33,scrp_2_33,scrp_1_34,scrp_2_34,scrp_1_35,scrp_2_35,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,param_24,param_25,param_26,param_27,param_28,param_29,param_30,param_31,param_32,param_33,param_34,param_35,param_36,param_37,param_38,param_39,param_40,param_41,param_42,param_43,param_44,param_45,param_46,param_47,param_48,param_49,param_50,param_51,param_52,param_53,param_54,param_55,param_56,param_57,param_58,param_59,param_60,param_61,param_62,param_63,param_64,param_65,param_66,param_67,param_68,param_69,param_70,param_71,param_72,param_73,param_74,param_75,param_76,param_77,param_78,param_79,param_80,param_81,param_82,param_83,param_84,param_85,param_86,param_87,param_88,param_89,param_90,param_91,param_92,param_93,param_94,param_95,param_96,param_97,param_98,param_99,param_100,coir,col,fulp,wage,SCALE
ObjectiveFunction,12028,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.299,0.5,0.327,0.5,0,0.411,17.89,20,20,-100,2,2,0.3349,0.0848999999999999,1,0.1295,1.325,0.0485,0.3997,10,0.05,0.0028319,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5359,1.01,0.001,0.5,1,0,0.001,0.5,2.4472,0.0508,1.5,0.8325,0.7,1,0,5,0.4030999999999999,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.021988,9.532,10,0.75,0.298,1.001,1.15,0.39965,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,daily
NSE,64219,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.613,0.5,0.283,0.5,0,0.074,18.950000000000003,20,20,-100,2,2,0.694,0.0804,1,0.331,1.0755,0.0716,0.3958,10,0.05,0.0029957,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5935,1.01,0.001,0.5,1,0,0.001,0.5,2.0864000000000003,0.0508,1.5,8.176,0.7,1,0,5,0.4734999999999999,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.00397,3.709,10,0.75,0.2692,1.251,1.15,0.1895,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,daily
PBIAS,12028,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.299,0.5,0.327,0.5,0,0.411,17.89,20,20,-100,2,2,0.3349,0.0848999999999999,1,0.1295,1.325,0.0485,0.3997,10,0.05,0.0028319,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5359,1.01,0.001,0.5,1,0,0.001,0.5,2.4472,0.0508,1.5,0.8325,0.7,1,0,5,0.4030999999999999,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.021988,9.532,10,0.75,0.298,1.001,1.15,0.39965,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,daily
COD,12668,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.94,0.5,0.915,0.5,0,0.052,16.13,20,20,-100,2,2,0.1207,0.1052999999999999,1,0.3545,1.0495,0.0728,0.3715,10,0.05,0.0026096,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5831,1.01,0.001,0.5,1,0,0.001,0.5,1.081,0.0508,1.5,1.0985,0.7,1,0,5,0.3920999999999999,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.063766,8.245,10,0.75,0.9919,0.857,1.15,0.1112,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,daily
ObjectiveFunction,3928,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.622,0.5,0.861,0.5,0,0.9,13.66,20,20,-100,2,2,0.1846,0.0996,1,0.0645,1.1935,0.0835,0.3931,10,0.05,0.0030902,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5257,1.01,0.001,0.5,1,0,0.001,0.5,0.8368,0.0508,1.5,3.882,0.7,1,0,5,0.3546999999999999,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.064756,3.502,10,0.75,0.541,0.595,1.15,0.1364,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,monthly
NSE,37640,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.197,0.5,0.6930000000000001,0.5,0,0.936,19.5,20,20,-100,2,2,0.3799,0.0255,1,0.012,1.02,0.0135,0.3796,10,0.05,0.0030722,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5694,1.01,0.001,0.5,1,0,0.001,0.5,1.9346,0.0508,1.5,2.058,0.7,1,0,5,0.1720999999999999,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.009712,2.305,10,0.75,0.9784,1.062,1.15,0.3748999999999999,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,monthly
PBIAS,32912,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.5470000000000002,0.5,0.799,0.5,0,0.193,12.59,20,20,-100,2,2,0.5248,0.1089,1,0.0005,1.0625,0.0627,0.1954,10,0.05,0.0025682,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5427,1.01,0.001,0.5,1,0,0.001,0.5,0.5640000000000001,0.0508,1.5,6.276,0.7,1,0,5,0.3266499999999999,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.060598,8.434,10,0.75,0.8569,0.858,1.15,0.33035,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,monthly
COD,37640,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.197,0.5,0.6930000000000001,0.5,0,0.936,19.5,20,20,-100,2,2,0.3799,0.0255,1,0.012,1.02,0.0135,0.3796,10,0.05,0.0030722,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5694,1.01,0.001,0.5,1,0,0.001,0.5,1.9346,0.0508,1.5,2.058,0.7,1,0,5,0.1720999999999999,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.009712,2.305,10,0.75,0.9784,1.062,1.15,0.3748999999999999,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,monthly
ObjectiveFunction,66324,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.667,0.5,0.852,0.5,0,0.934,18.57,20,20,-100,2,2,0.9667,0.141,1,0.2515,1.204,0.0928,0.3739,10,0.05,0.0030452,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5847,1.01,0.001,0.5,1,0,0.001,0.5,2.1656,0.0508,1.5,4.528,0.7,1,0,5,0.3997999999999999,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.001495,4.393,10,0.75,0.9127,0.511,1.15,0.0644,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,yearly
NSE,66324,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.667,0.5,0.852,0.5,0,0.934,18.57,20,20,-100,2,2,0.9667,0.141,1,0.2515,1.204,0.0928,0.3739,10,0.05,0.0030452,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5847,1.01,0.001,0.5,1,0,0.001,0.5,2.1656,0.0508,1.5,4.528,0.7,1,0,5,0.3997999999999999,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.001495,4.393,10,0.75,0.9127,0.511,1.15,0.0644,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,yearly
PBIAS,12028,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.299,0.5,0.327,0.5,0,0.411,17.89,20,20,-100,2,2,0.3349,0.0848999999999999,1,0.1295,1.325,0.0485,0.3997,10,0.05,0.0028319,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5359,1.01,0.001,0.5,1,0,0.001,0.5,2.4472,0.0508,1.5,0.8325,0.7,1,0,5,0.4030999999999999,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.021988,9.532,10,0.75,0.298,1.001,1.15,0.39965,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,yearly
COD,26136,90.05,99.95,10.5,100.95,50.1,95.95,0,0,25.05,75.9,5.1,100.95,5.25,50.95,20.5,80.99,1.1,10.99,10.05,100.9,5.01,20.9,5.05,100.5,1.8,3.99,5.1,20.95,10.1,100.95,3.1,20.99,20.1,50.95,5.1,50.3,10.01,25.95,400.05,600.8,10.5,100.9,100.01,1000.9,1.5,3.99,1.25,5.95,50.1,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,2,1.913,0.5,0.969,0.5,0,0.264,19.41,20,20,-100,2,2,0.8308,0.1916999999999999,1,0.09,1.239,0.0543,0.3367,10,0.05,0.0028598,0.1,0,0.05,0.3,5,0.35,1,0.3,1,2,0.5642,1.01,0.001,0.5,1,0,0.001,0.5,1.1404,0.0508,1.5,5.9435,0.7,1,0,5,0.05275,0.5,10,0.9,0.78,0.2468,0.9,0.78,0.2468,1,5,0.8,0.1,0.1,1,0.017434,9.703,10,0.75,0.7758999999999999,0.618,1.15,0.13415,0.2,0.1,0.05,0.005,0,100,1,1,0,0,2,0.0001,0.0001,0.1,0.001,0.001,0.1,2,0.1,1,1,1,0,8,1,0.45,0.5,0,0,0,0,0,yearly
